

---------------------------------------------------

Inference for Stan model: anon_model_f0a4b0a480636fcaa2be8ca6b94a0f70.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

               mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
alpha[0]      -7.87  2.8e-3   0.09  -8.05  -7.92  -7.86  -7.81  -7.68   1070    1.0
alpha[1]      -8.42  6.0e-3   0.15  -8.71  -8.52  -8.42  -8.33  -8.12    644    1.0
alpha[2]      -6.62  8.3e-3   0.14  -6.91  -6.69  -6.61  -6.54  -6.37    274   1.02
alpha[3]       -8.2    0.01   0.31   -8.8   -8.4  -8.21   -8.0  -7.56    665   1.01
alpha[4]      -7.48    0.01   0.23  -7.96  -7.64  -7.48  -7.33  -7.03    320   1.02
alpha[5]      -7.12    0.02   0.25  -7.65  -7.26  -7.11  -6.96  -6.65    261   1.02
alpha[6]      -5.96    0.02   0.32  -6.74  -6.12  -5.93  -5.76  -5.42    207   1.01
alpha[7]      -6.56    0.02   0.34  -7.35  -6.74  -6.53  -6.34  -5.96    218   1.02
alpha[8]      -7.34    0.02   0.38  -8.16  -7.57  -7.33   -7.1  -6.61    256   1.02
alpha[9]      -7.35    0.02   0.43  -8.24  -7.61  -7.34  -7.07  -6.51    314   1.02
alpha[10]     -7.86    0.02   0.42  -8.68  -8.14  -7.88  -7.59  -7.04    289   1.02
alpha[11]      -9.1    0.03   0.62 -10.25  -9.51  -9.13   -8.7  -7.81    320   1.02
alpha[12]     -7.66    0.03   0.47  -8.59  -7.95  -7.67  -7.36  -6.73    247   1.03
alpha[13]     -5.99    0.05   0.62  -7.38  -6.36  -5.91  -5.58   -4.9    185   1.01
alpha[14]     -7.25    0.04   0.55  -8.44  -7.57  -7.24  -6.91  -6.19    233   1.02
alpha[15]     -6.88    0.04   0.59  -8.15  -7.24  -6.86   -6.5  -5.78    214   1.02
alpha[16]     -8.12    0.04   0.59  -9.27   -8.5  -8.14  -7.75  -6.94    232   1.03
